Date,Kp
2021-06-25 18:57:45,7
2021-06-25 19:57:45,7
2021-06-25 20:57:45,3
2021-06-25 21:57:45,3
2021-06-25 22:57:45,3
2021-06-25 23:57:45,3
2021-06-26 00:57:45,3
2021-06-26 01:57:45,3
2021-06-26 02:57:45,3
2021-06-26 03:57:45,3
2021-06-26 04:57:45,3
2021-06-26 05:57:45,7
2021-06-26 06:57:45,7
2021-06-26 07:57:45,7
2021-06-26 08:57:45,13
2021-06-26 09:57:45,13
2021-06-26 10:57:45,13
2021-06-26 11:57:45,13
2021-06-26 12:57:45,13
2021-06-26 13:57:45,13
2021-06-26 14:57:45,10
2021-06-26 15:57:45,10
2021-06-26 16:57:45,10
2021-06-26 17:57:45,3
2021-06-26 18:57:45,3
2021-06-26 19:57:45,3
2021-06-26 20:57:45,3
2021-06-26 21:57:45,3
2021-06-26 22:57:45,3
2021-06-26 23:57:45,3
2021-06-27 00:57:45,3
2021-06-27 01:57:45,3
2021-06-27 02:57:45,3
2021-06-27 03:57:45,3
2021-06-27 04:57:45,3
2021-06-27 05:57:45,10
2021-06-27 06:57:45,10
2021-06-27 07:57:45,10
2021-06-27 08:57:45,3
2021-06-27 09:57:45,3
2021-06-27 10:57:45,3
2021-06-27 11:57:45,10
2021-06-27 12:57:45,10
2021-06-27 13:57:45,10
2021-06-27 14:57:45,10
2021-06-27 15:57:45,10
2021-06-27 16:57:45,10
2021-06-27 17:57:45,7
2021-06-27 18:57:45,7
2021-06-27 19:57:45,7
2021-06-27 20:57:45,7
2021-06-27 21:57:45,7
2021-06-27 22:57:45,7
2021-06-27 23:57:45,10
2021-06-28 00:57:45,10
2021-06-28 01:57:45,10
2021-06-28 02:57:45,3
2021-06-28 03:57:45,3
2021-06-28 04:57:45,3
2021-06-28 05:57:45,3
2021-06-28 06:57:45,3
2021-06-28 07:57:45,3
2021-06-28 08:57:45,3
2021-06-28 09:57:45,3
2021-06-28 10:57:45,3
2021-06-28 11:57:45,7
2021-06-28 12:57:45,7
2021-06-28 13:57:45,7
2021-06-28 14:57:45,10
2021-06-28 15:57:45,10
2021-06-28 16:57:45,10
2021-06-28 17:57:45,7
2021-06-28 18:57:45,7
2021-06-28 19:57:45,7
2021-06-28 20:57:45,7
2021-06-28 21:57:45,7
2021-06-28 22:57:45,7
2021-06-28 23:57:45,10
2021-06-29 00:57:45,10
2021-06-29 01:57:45,10
2021-06-29 02:57:45,3
2021-06-29 03:57:45,3
2021-06-29 04:57:45,3
2021-06-29 05:57:45,7
2021-06-29 06:57:45,7
2021-06-29 07:57:45,7
2021-06-29 08:57:45,7
2021-06-29 09:57:45,7
2021-06-29 10:57:45,7
2021-06-29 11:57:45,17
2021-06-29 12:57:45,17
2021-06-29 13:57:45,17
2021-06-29 14:57:45,20
2021-06-29 15:57:45,20
2021-06-29 16:57:45,20
2021-06-29 17:57:45,23
2021-06-29 18:57:45,23
2021-06-29 19:57:45,23
2021-06-29 20:57:45,3
2021-06-29 21:57:45,3
2021-06-29 22:57:45,3
2021-06-29 23:57:45,3
2021-06-30 00:57:45,3
2021-06-30 01:57:45,3
2021-06-30 02:57:45,20
2021-06-30 03:57:45,20
2021-06-30 04:57:45,20
2021-06-30 05:57:45,27
2021-06-30 06:57:45,27
2021-06-30 07:57:45,27
2021-06-30 08:57:45,30
2021-06-30 09:57:45,30
2021-06-30 10:57:45,30
2021-06-30 11:57:45,13
2021-06-30 12:57:45,13
2021-06-30 13:57:45,13
2021-06-30 14:57:45,30
2021-06-30 15:57:45,30
2021-06-30 16:57:45,30
2021-06-30 17:57:45,37
2021-06-30 18:57:45,37
2021-06-30 19:57:45,37
2021-06-30 20:57:45,40
2021-06-30 21:57:45,40
2021-06-30 22:57:45,40
2021-06-30 23:57:45,30
2021-07-01 00:57:45,30
2021-07-01 01:57:45,30
2021-07-01 02:57:45,23
2021-07-01 03:57:44,23
2021-07-01 04:57:44,23
2021-07-01 05:57:44,10
2021-07-01 06:57:44,10
2021-07-01 07:57:44,10
2021-07-01 08:57:44,7
2021-07-01 09:57:44,7
2021-07-01 10:57:44,7
2021-07-01 11:57:44,3
2021-07-01 12:57:44,3
2021-07-01 13:57:44,3
2021-07-01 14:57:44,7
2021-07-01 15:57:44,7
2021-07-01 16:57:44,7
2021-07-01 17:57:44,7
2021-07-01 18:57:44,7
2021-07-01 19:57:44,7
2021-07-01 20:57:44,7
2021-07-01 21:57:44,7
2021-07-01 22:57:44,7
2021-07-01 23:57:44,7
2021-07-02 00:57:44,7
2021-07-02 01:57:44,7
2021-07-02 02:57:44,13
2021-07-02 03:57:44,13
2021-07-02 04:57:44,13
2021-07-02 05:57:44,13
2021-07-02 06:57:44,13
2021-07-02 07:57:44,13
2021-07-02 08:57:44,10
2021-07-02 09:57:44,10
2021-07-02 10:57:44,10
2021-07-02 11:57:44,10
2021-07-02 12:57:44,10
2021-07-02 13:57:44,10
2021-07-02 14:57:44,17
2021-07-02 15:57:44,17
2021-07-02 16:57:44,17
2021-07-02 17:57:44,10
2021-07-02 18:57:44,10
2021-07-02 19:57:44,10
2021-07-02 20:57:44,10
2021-07-02 21:57:44,10
2021-07-02 22:57:44,10
2021-07-02 23:57:44,20
