Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7,imf_DNS_8
2021-11-08 10:00:00,-16,3.22e-13,0.273858921,0.186791288,0,80.6,0.276266,0.0,0.438043478,0.979597192,0.07176848284540568,0.009045510357355247,0.011556518930797673,0.0006301774015762037,0.025659900561240755,-0.07781305527626399,-0.02245926821295644,0.16840302139284488
2021-11-08 11:00:00,-14,6.2e-14,0.265560166,0.034977668,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.06326251183379787,-0.007388237827440245,0.01147637650927817,0.002433005132499149,0.023466323410116875,-0.07864380342270072,-0.02196185585463293,0.16885837188667757
2021-11-08 12:00:00,-7,1.44e-13,0.236514523,0.082887881,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.004681305483538727,-0.017704437412218173,0.011320828499699164,0.00431952002226553,0.021230844749614772,-0.07944984390512633,-0.021460655098078492,0.16931292962738226
2021-11-08 13:00:00,-13,2.21e-13,0.261410788,0.127608565,2,80.6,0.276266,0.009661836,0.438043478,0.979597192,0.04311971507722186,-0.020422715209106372,0.011092604158995129,0.006283313051405195,0.018955405600127977,-0.08023073324380245,-0.020955712941959796,0.16976668850711846
2021-11-08 14:00:00,-13,8.28e-14,0.261410788,0.047142027,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.03933024361967365,-0.018070641624970376,0.010796451988034361,0.008317975200447992,0.016641946982050244,-0.08098602795899101,-0.020447076384943336,0.17021964241804577
2021-11-08 15:00:00,-15,2.26e-13,0.269709544,0.130500657,5,80.6,0.276266,0.024154589,0.438043478,0.979597192,0.04285834215466635,-0.01653409823946049,0.010445197463420968,0.010417097449923666,0.014292409915775274,-0.0817152845709537,-0.019934792425695843,0.17067178525232377
2021-11-08 16:00:00,-16,1.18e-13,0.273858921,0.067857267,6,80.6,0.276266,0.028985507,0.438043478,0.979597192,-0.021520353014005317,-0.014445214733022117,0.010053685305692788,0.012573970310094634,0.011909035891964223,-0.08241805959995244,-0.019418908062883624,0.17112311090211185
2021-11-08 17:00:00,-18,6e-14,0.282157676,0.033831774,5,80.6,0.276266,0.024154589,0.438043478,0.979597192,-0.061644321919609,-0.008016848406427624,0.009636721540569274,0.014780721104971594,0.009495268282348424,-0.08309390956624887,-0.018899470295173408,0.17157361325956963
2021-11-08 18:00:00,-13,3.08e-13,0.261410788,0.178571064,3,85.9,0.276266,0.014492754,0.466847826,0.979597192,0.07047586123340052,0.004897693850085158,0.009208957414495176,0.017029331467572392,0.007054850928926756,-0.08374239099010497,-0.018376526121231668,0.17202328621685664
2021-11-08 19:00:00,-8,1e-13,0.2406639,0.057160056,0,85.9,0.276266,0.0,0.466847826,0.979597192,-0.06482054445026854,0.019033304837115392,0.008785005479096593,0.019311821725733494,0.004591527673698068,-0.08436306039178244,-0.0178501225397249,0.17247212366613235
